Transaction Type|Action Indicator|State Code|County Code|Site Number|Parameter|POC|Duration Code|Reported Unit|Method Code|Sample Date|Sample Begin Time|Reported Sample Value|Null Data Code|Collection Frequency Code|Monitor Protocol ID|Qualifier Code - 1|Qualifier Code - 2|Qualifier Code - 3|Qualifier Code - 4|Qualifier Code - 5|Qualifier Code - 6|Qualifier Code - 7|Qualifier Code - 8|Qualifier Code - 9|Qualifier Code - 10|Alternate Method Detection Limit|Uncertainty Value
RD|I|27|017|7417|44201|1|1|007|003|20150706|9 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150713|4 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150713|8 :00|-2||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150713|9 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150713|10 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150713|18 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150723|15 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150817|15 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150817|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150817|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150818|6 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150818|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150818|19 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150818|20 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150819|7 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150819|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150820|5 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150820|18 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150821|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150821|5 :00|-2||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150821|6 :00|-3||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150823|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150824|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150824|10 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150824|11 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150825|4 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150825|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150825|22 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150826|8 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150826|9 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150908|22 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150912|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150912|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150920|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150922|22 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150926|5 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20150930|5 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151002|5 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151003|5 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151003|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151004|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151007|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151009|1 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151009|2 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151009|7 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151009|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151012|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151012|20 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151012|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151013|1 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151013|2 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151017|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151021|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151023|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151023|9 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151024|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151024|13 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151024|14 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151028|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151030|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151030|1 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151030|2 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151030|3 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151030|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151030|5 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151031|20 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151031|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151101|14 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151101|15 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151101|22 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151101|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151102|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151106|2 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151106|3 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151106|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151106|9 :00|-2||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151106|10 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151106|11 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151118|12 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151120|5 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151121|7 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151121|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151121|10 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151121|16 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151122|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151122|1 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151122|2 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151123|16 :00|-4||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151123|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151127|5 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151127|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151201|17 :00|-1||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151203|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151211|3 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151211|7 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151211|10 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151212|2 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151212|3 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151212|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151212|7 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151213|14 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151213|15 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151213|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151214|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151214|3 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151214|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151214|20 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151216|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151216|5 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151216|7 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151217|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151218|4 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151218|8 :00|0||S|TRIBAL||||||||||||
RD|I|27|017|7417|44201|1|1|007|003|20151230|3 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150116|1 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150130|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150225|2 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150323|15 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150327|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150415|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150423|22 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150423|23 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150426|0 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150426|1 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150430|17 :00|-1||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150501|0 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150501|1 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150501|13 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150504|18 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150504|19 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150504|21 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150510|15 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150510|16 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150510|17 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150512|6 :00|0||S|TRIBAL||||||||||||
RD|I|27|137|7001|44201|1|1|007|003|20150516|0 :00|0||S|TRIBAL||||||||||||
