time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,windSpeed,windBearing,visibility,cloudCover,pressure,precipType,precipAccumulation,site_catid
2015-09-11T05:00:00Z,Clear,clear-night,0,0,49.34,47.64,44.79,0.84,4.69,331,10,0.15,1019.69,NA,NA,27-137-7001
2015-09-11T06:00:00Z,Clear,clear-night,0,0,46.83,44.44,43.41,0.88,5.09,325,10,0.13,1019.84,NA,NA,27-137-7001
2015-09-11T07:00:00Z,Clear,clear-night,0,0,48.39,47.09,44.58,0.87,3.9,318,10,0.08,1019.96,NA,NA,27-137-7001
2015-09-11T08:00:00Z,Clear,clear-night,0,0,47.26,46,43.81,0.88,3.63,324,9.75,0.07,1020.34,NA,NA,27-137-7001
2015-09-11T09:00:00Z,Clear,clear-night,0,0,46.84,44.59,43.49,0.88,4.88,323,9.49,0.1,1020.77,NA,NA,27-137-7001
2015-09-11T10:00:00Z,Clear,clear-night,0,0,47.96,45.66,44.1,0.86,5.27,336,9.81,0,1021.3,NA,NA,27-137-7001
2015-09-11T11:00:00Z,Clear,clear-night,0.0033,0.11,46.96,44.52,43.25,0.87,5.2,332,10,0,1021.84,rain,NA,27-137-7001
2015-09-11T12:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,46.56,43.54,42.74,0.86,6.06,341,8.97,0.34,1022.23,NA,NA,27-137-7001
2015-09-11T13:00:00Z,Clear,clear-day,0,0,47.53,44.81,42.85,0.84,5.84,341,9.83,0,1022.66,NA,NA,27-137-7001
2015-09-11T14:00:00Z,Clear,clear-day,0,0,49.83,47.35,42.79,0.77,6.22,350,10,0.21,1023.01,NA,NA,27-137-7001
2015-09-11T15:00:00Z,Clear,clear-day,0,0,51.07,51.07,42.42,0.72,6.73,340,9.66,0.16,1023.02,NA,NA,27-137-7001
2015-09-11T16:00:00Z,Partly Cloudy,partly-cloudy-day,0,0,52.96,52.96,42.41,0.67,7.23,348,10,0.31,1023.09,NA,NA,27-137-7001
