SITE,Date,Hour,OZONE,TEMP_F,StateCode,CountyCode,SiteNum,Latitude,Longitude,Time,Parameter,YEAR,Month,Day,UNITS
27-137-7001,2016-04-01,6,10,24.2,27,137,7001,47.523355,-92.536305,1899-12-31T06:00:00Z,88101,2016,4,01,PPB
27-137-7001,2016-04-02,3,14,35.6,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,02,PPB
27-137-7001,2016-04-03,3,12,28.4,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,03,PPB
27-137-7001,2016-04-04,2,13,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,04,PPB
27-137-7001,2016-04-05,1,16,42.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,05,PPB
27-137-7001,2016-04-06,2,0.018,49.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,06,PPM
27-137-7001,2016-04-07,0,20,44,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,07,PPB
27-137-7001,2016-04-08,1,14,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,08,PPB
27-137-7001,2016-04-09,3,14,53,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,4,09,PPB
27-137-7001,2016-04-10,0,16,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,10,PPB
27-137-7001,2016-04-11,1,13,53,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,11,PPB
27-137-7001,2016-04-12,2,8,40.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,12,PPB
27-137-7001,2016-04-13,1,10,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,13,PPB
27-137-7001,2016-04-14,2,8,29,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,14,PPB
27-137-7001,2016-04-15,4,12,30.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,15,PPB
27-137-7001,2016-04-16,0,10,26.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,16,PPB
27-137-7001,2016-04-17,1,11,36.2,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,17,PPB
27-137-7001,2016-04-18,0,12,39.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,18,PPB
27-137-7001,2016-04-19,4,13,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,19,PPB
27-137-7001,2016-04-20,4,22,66.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,4,20,PPB
27-137-7001,2016-04-21,2,12,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,21,PPB
27-137-7001,2016-04-22,7,11,51.199999999999996,27,137,7001,47.523355,-92.536305,1899-12-31T07:00:00Z,88101,2016,4,22,PPB
27-137-7001,2016-04-23,0,10,47.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,4,23,PPB
27-137-7001,2016-04-24,2,13,35.6,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,24,PPB
27-137-7001,2016-04-25,1,9,42.199999999999996,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,25,PPB
27-137-7001,2016-04-26,2,9,41,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,26,PPB
27-137-7001,2016-04-27,1,9,33.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,27,PPB
27-137-7001,2016-04-28,1,11,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,4,28,PPB
27-137-7001,2016-04-29,2,10,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,29,PPB
27-137-7001,2016-04-30,2,8,37.4,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,4,30,PPB
27-137-7001,2016-05-01,3,9,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,01,PPB
27-137-7001,2016-05-02,2,11,51.199999999999996,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,02,PPB
27-137-7001,2016-05-03,0,11,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,03,PPB
27-137-7001,2016-05-04,1,9,53.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,04,PPB
27-137-7001,2016-05-05,0,10,48.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,05,PPB
27-137-7001,2016-05-06,0,12,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,06,PPB
27-137-7001,2016-05-07,1,9,44.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,07,PPB
27-137-7001,2016-05-08,3,18,44,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,08,PPB
27-137-7001,2016-05-09,0,12,45.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,09,PPB
27-137-7001,2016-05-10,2,11,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T02:00:00Z,88101,2016,5,10,PPB
27-137-7001,2016-05-11,20,6,47.6,27,137,7001,47.523355,-92.536305,1899-12-31T20:00:00Z,88101,2016,5,11,PPB
27-137-7001,2016-05-12,0,10,46.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,12,PPB
27-137-7001,2016-05-13,0,8,53,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,13,PPB
27-137-7001,2016-05-14,0,9,49.4,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,14,PPB
27-137-7001,2016-05-15,3,7,45.2,27,137,7001,47.523355,-92.536305,1899-12-31T03:00:00Z,88101,2016,5,15,PPB
27-137-7001,2016-05-16,1,11,51.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,16,PPB
27-137-7001,2016-05-17,0,14,62.6,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,17,PPB
27-137-7001,2016-05-18,0,21,71,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,18,PPB
27-137-7001,2016-05-19,1,16,52.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,19,PPB
27-137-7001,2016-05-20,0,17,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,20,PPB
27-137-7001,2016-05-21,1,11,60.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,21,PPB
27-137-7001,2016-05-22,0,6,62,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,22,PPB
27-137-7001,2016-05-23,4,11,72.2,27,137,7001,47.523355,-92.536305,1899-12-31T04:00:00Z,88101,2016,5,23,PPB
27-137-7001,2016-05-24,1,15,80.6,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,24,PPB
27-137-7001,2016-05-25,1,13,78.8,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,25,PPB
27-137-7001,2016-05-26,0,20,83.60000000000001,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,26,PPB
27-137-7001,2016-05-27,1,14,64.4,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,27,PPB
27-137-7001,2016-05-28,0,10,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,28,PPB
27-137-7001,2016-05-29,0,13,80,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,5,29,PPB
27-137-7001,2016-05-30,1,15,74,27,137,7001,47.523355,-92.536305,1899-12-31T01:00:00Z,88101,2016,5,30,PPB
27-137-7001,2016-05-31,8,15,67.1,27,137,7001,47.523355,-92.536305,1899-12-31T08:00:00Z,88101,2016,5,31,PPB
27-137-7001,2016-06-01,0,12,69.8,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,01,PPB
27-137-7001,2016-06-02,0,9,75.2,27,137,7001,47.523355,-92.536305,1899-12-31T00:00:00Z,88101,2016,6,02,PPB
