date,hour,ws,wd,site
2015-07-06,9,4,351,27-017-7417
2015-07-13,4,8.33,249,27-017-7417
2015-07-13,8,2.74,220,27-017-7417
2015-07-13,9,1.65,224,27-017-7417
2015-07-13,10,5.17,327,27-017-7417
2015-07-13,18,1.21,251,27-017-7417
2015-07-23,15,6.97,190,27-017-7417
2015-08-17,15,8.01,325,27-017-7417
2015-08-17,19,6.54,342,27-017-7417
2015-08-17,21,6.39,334,27-017-7417
2015-08-18,6,5.36,334,27-017-7417
2015-08-18,8,4.76,347,27-017-7417
2015-08-18,19,10.82,72,27-017-7417
2015-08-18,20,12.88,75,27-017-7417
2015-08-19,7,13.01,58,27-017-7417
2015-08-19,8,7.87,35,27-017-7417
2015-08-20,5,10.2,313,27-017-7417
2015-08-20,18,12.61,300,27-017-7417
2015-08-21,4,2.67,203,27-017-7417
2015-08-21,5,3.25,212,27-017-7417
2015-08-21,6,0.64,215,27-017-7417
2015-08-23,23,15.65,261,27-017-7417
2015-08-24,6,15.04,274,27-017-7417
2015-08-24,10,11.87,282,27-017-7417
2015-08-24,11,14.44,290,27-017-7417
2015-08-25,4,12.8,313,27-017-7417
2015-08-25,21,12.27,330,27-017-7417
2015-08-25,22,8.48,333,27-017-7417
2015-08-26,8,0.42,217,27-017-7417
2015-08-26,9,0.51,275,27-017-7417
2015-09-08,22,13.81,291,27-017-7417
2015-09-12,4,4.87,327,27-017-7417
2015-09-12,21,3.14,229,27-017-7417
2015-09-20,21,13.88,190,27-017-7417
2015-09-22,22,4.72,27,27-017-7417
2015-09-26,5,7.5,95,27-017-7417
2015-09-30,5,2.83,254,27-017-7417
2015-10-02,5,7.64,79,27-017-7417
2015-10-03,5,16.11,94,27-017-7417
2015-10-03,23,16.79,70,27-017-7417
2015-10-04,0,14.45,70,27-017-7417
2015-10-07,17,3.05,94,27-017-7417
2015-10-09,1,8.57,323,27-017-7417
2015-10-09,2,8.79,325,27-017-7417
2015-10-09,7,5.34,305,27-017-7417
2015-10-09,8,5.25,313,27-017-7417
2015-10-12,19,19.76,263,27-017-7417
2015-10-12,20,16.91,263,27-017-7417
2015-10-12,21,17.61,273,27-017-7417
2015-10-13,1,18.43,310,27-017-7417
2015-10-13,2,16.16,311,27-017-7417
2015-10-17,23,6.05,302,27-017-7417
2015-10-21,4,10.95,71,27-017-7417
2015-10-23,6,7.05,83,27-017-7417
2015-10-23,9,12.27,90,27-017-7417
2015-10-24,6,3.17,325,27-017-7417
2015-10-24,13,12.71,322,27-017-7417
2015-10-24,14,9.35,316,27-017-7417
2015-10-28,23,13.57,283,27-017-7417
2015-10-30,0,9.43,312,27-017-7417
2015-10-30,1,4.92,298,27-017-7417
2015-10-30,2,5.89,311,27-017-7417
2015-10-30,3,1.23,302,27-017-7417
2015-10-30,4,1,294,27-017-7417
