receipt_date,item,origin,destination,amount,units,price_per_pound
4/1/2013,Bulkhead,Cratertown,Raiders,4017,Cubic Yards,1004.83
4/2/2013,Starship sensor array,Outskirts,Trade caravan,1249,Cubic Yards,1129.29
4/3/2013,Starship sensor array,Outskirts,Niima Outpost,4434,Cubic Yards,1129.29
4/4/2013,Hull Panel,Cratertown,Raiders,286,Cubic Yards,843.15
4/5/2013,Starship sensor array,Cratertown,Trade caravan,305,Cubic Yards,1129.29
4/6/2013,Starship sensor array,Reestki,Raiders,5347,Cubic Yards,1129.29
4/7/2013,Repulsorlift array,Cratertown,Niima Outpost,13367,Cubic Yards,629.28
4/8/2013,Bulkhead,Outskirts,Niima Outpost,3061,Cubic Yards,1004.83
4/9/2013,Bulkhead,Tuanul,Raiders,5221,Cubic Yards,1004.83
4/10/2013,Bulkhead,Blowback Town,Niima Outpost,6153,Cubic Yards,1004.83
4/11/2013,Bulkhead,Outskirts,Trade caravan,1173,Cubic Yards,1004.83
4/12/2013,Repulsorlift array,Tuanul,Trade caravan,1136,Cubic Yards,629.28
4/13/2013,Starship sensor array,Cratertown,Trade caravan,1308,Cubic Yards,1129.29
4/14/2013,Hull Panel,Blowback Town,Trade caravan,2224,Cubic Yards,843.15
4/15/2013,Bulkhead,Outskirts,Raiders,4715,Cubic Yards,1004.83
4/16/2013,Repulsorlift array,Cratertown,Raiders,3871,Cubic Yards,629.28
4/17/2013,Repulsorlift array,Tuanul,Trade caravan,821,Cubic Yards,629.28
4/18/2013,Hull Panel,Blowback Town,Trade caravan,1438,Cubic Yards,843.15
4/19/2013,Hull Panel,Reestki,Niima Outpost,6268,Cubic Yards,843.15
4/20/2013,Hull Panel,Blowback Town,Raiders,648,Cubic Yards,843.15
4/21/2013,Repulsorlift array,Reestki,Niima Outpost,618,Cubic Yards,629.28
4/22/2013,Bulkhead,Cratertown,Raiders,3616,Cubic Yards,1004.83
4/23/2013,Repulsorlift array,Blowback Town,Trade caravan,2851,Cubic Yards,629.28
4/24/2013,Bulkhead,Tuanul,Trade caravan,5044,Cubic Yards,1004.83
4/25/2013,Repulsorlift array,Blowback Town,Raiders,2130,Cubic Yards,629.28
4/26/2013,Starship sensor array,Tuanul,Raiders,2162,Cubic Yards,1129.29
4/27/2013,Hull Panel,Cratertown,Niima Outpost,4743,Cubic Yards,843.15
4/28/2013,Bulkhead,Blowback Town,Raiders,4944,Cubic Yards,1004.83
4/29/2013,Starship sensor array,Blowback Town,Trade caravan,4236,Cubic Yards,1129.29
4/30/2013,Repulsorlift array,Outskirts,Trade caravan,7053,Cubic Yards,629.28
5/1/2013,Starship sensor array,Reestki,Niima Outpost,974,Cubic Yards,1129.29
5/2/2013,Bulkhead,Reestki,Raiders,10254,Cubic Yards,1004.83
5/3/2013,Bulkhead,Reestki,Raiders,1718,Cubic Yards,1004.83
5/4/2013,Bulkhead,Cratertown,Niima Outpost,3171,Cubic Yards,1004.83
5/5/2013,Starship sensor array,Reestki,Raiders,7748,Cubic Yards,1129.29
5/6/2013,Hull Panel,Cratertown,Trade caravan,6303,Cubic Yards,843.15
5/7/2013,Bulkhead,Cratertown,Niima Outpost,880,Cubic Yards,1004.83
5/8/2013,Repulsorlift array,Reestki,Trade caravan,3945,Cubic Yards,629.28
5/9/2013,Repulsorlift array,Reestki,Trade caravan,5196,Cubic Yards,629.28
5/10/2013,Hull Panel,Blowback Town,Trade caravan,11340,Cubic Yards,843.15
5/11/2013,Hull Panel,Cratertown,Trade caravan,3619,Cubic Yards,843.15
5/12/2013,Hull Panel,Cratertown,Trade caravan,8141,Cubic Yards,843.15
5/13/2013,Starship sensor array,Tuanul,Niima Outpost,7727,Cubic Yards,1129.29
5/14/2013,Repulsorlift array,Tuanul,Trade caravan,1042,Cubic Yards,629.28
5/15/2013,Repulsorlift array,Reestki,Raiders,3659,Cubic Yards,629.28
5/16/2013,Starship sensor array,Outskirts,Niima Outpost,2292,Cubic Yards,1129.29
5/17/2013,Starship sensor array,Reestki,Niima Outpost,1726,Cubic Yards,1129.29
5/18/2013,Starship sensor array,Cratertown,Niima Outpost,5534,Cubic Yards,1129.29
5/19/2013,Bulkhead,Outskirts,Trade caravan,2185,Cubic Yards,1004.83
5/20/2013,Repulsorlift array,Tuanul,Niima Outpost,20175,Cubic Yards,629.28
5/22/2013,Starship sensor array,Cratertown,Niima Outpost,1764,Cubic Yards,1129.29
5/23/2013,Starship sensor array,Blowback Town,Raiders,2037,Cubic Yards,1129.29
5/24/2013,Hull Panel,Outskirts,Raiders,5847,Cubic Yards,843.15
5/25/2013,Repulsorlift array,Outskirts,Raiders,157,Cubic Yards,629.28
5/26/2013,Starship sensor array,Outskirts,Trade caravan,16924,Cubic Yards,1129.29
5/27/2013,Electrotelescope,Outskirts,Trade caravan,8772,Items,849.79
5/28/2013,Atmospheric thrusters,Cratertown,Niima Outpost,25197,Items,56.21
5/29/2013,Main drive,Blowback Town,Trade caravan,4970,Items,597.85
5/30/2013,Atmospheric thrusters,Tuanul,Trade caravan,4689,Items,56.21
5/31/2013,Full-spectrum transceiver,Cratertown,Niima Outpost,11677,Items,4041.01
6/1/2013,Atomic drive,Blowback Town,Trade caravan,15603,Items,316.5
6/2/2013,Magnetic turbine,Reestki,Niima Outpost,9560,Items,31.77
6/3/2013,Electrotelescope,Tuanul,Raiders,2271,Items,849.79
6/4/2013,Magnetic turbine,Outskirts,Trade caravan,3267,Items,31.77
6/5/2013,Backup hyperdrive,Blowback Town,Raiders,677,Items,2726.24
6/6/2013,Atmospheric thrusters,Tuanul,Niima Outpost,7683,Items,56.21
6/7/2013,Hyperdrive,Cratertown,Trade caravan,2031,Items,965.87
6/8/2013,Hyperdrive,Reestki,Raiders,1218,Items,965.87
