receipt_date,item,origin,destination,amount,units,price_per_pound
4/1/2013,Flight recorder,Outskirts,Niima Outpost,887,Tons,590.93
4/2/2013,Proximity sensor,Outskirts,Raiders,7081,Tons,1229.03
4/3/2013,Vitus-Series Attitude Thrusters,Reestki,Raiders,4901,Tons,225.54
4/4/2013,Aural sensor,Tuanul,Raiders,707,Tons,145.27
4/5/2013,Electromagnetic discharge filter,Tuanul,Niima Outpost,107,Tons,188.28
4/6/2013,Proximity sensor,Tuanul,Trade caravan,32109,Tons,1229.03
4/7/2013,Hyperdrive motivator,Tuanul,Trade caravan,862,Tons,1485.28
4/8/2013,Landing jet,Reestki,Niima Outpost,13944,Tons,1496.74
4/9/2013,Electromagnetic discharge filter,Cratertown,Raiders,7788,Tons,188.28
4/10/2013,Sublight engine,Outskirts,Niima Outpost,10642,Tons,7211.01
4/11/2013,Sublight drive,Cratertown,Niima Outpost,20652,Tons,420.36
4/12/2013,Landing jet,Blowback Town,Raiders,2252,Tons,1496.74
4/13/2013,Flight recorder,Blowback Town,Trade caravan,5428,Tons,590.93
4/14/2013,Sublight engine,Outskirts,Raiders,2377,Tons,7211.01
4/15/2013,Sublight engine,Cratertown,Raiders,6310,Tons,7211.01
4/16/2013,Sublight engine,Tuanul,Trade caravan,3984,Tons,7211.01
4/17/2013,Ion engine,Blowback Town,Niima Outpost,2356,TONS,1605.85
4/18/2013,Electromagnetic discharge filter,Reestki,Niima Outpost,150,Tons,188.28
4/19/2013,Vitus-Series Attitude Thrusters,Cratertown,Raiders,1051,Tons,225.54
4/20/2013,Maneuvering jet,Tuanul,Trade caravan,690,Tons,2167.84
4/21/2013,Lateral thruster,Outskirts,Niima Outpost,20739,Tons,1570.65
4/22/2013,Navigation computer,Cratertown,Niima Outpost,11270,Tons,259.56
4/23/2013,Hyperdrive motivator,Reestki,Raiders,7392,Tons,1485.28
4/24/2013,Proximity sensor,Blowback Town,Raiders,10083,Tons,1229.03
4/25/2013,Vitus-Series Attitude Thrusters,Cratertown,Trade caravan,5785,Tons,225.54
4/26/2013,Flight recorder,Cratertown,Trade caravan,2791,Tons,590.93
4/27/2013,Navigation computer,Blowback Town,Raiders,3508,Tons,259.56
4/28/2013,Ion engine,Tuanul,Trade caravan,3439,TONS,1605.85
